Country,Happiness_Rank,Year,Happiness_Score,Type,Value
Finland,1,2021,7.842,GDP per capita,1.446
Denmark,2,2021,7.62,GDP per capita,1.502
Switzerland,3,2021,7.571,GDP per capita,1.566
Iceland,4,2021,7.554,GDP per capita,1.482
Netherlands,5,2021,7.464,GDP per capita,1.501
Norway,6,2021,7.392,GDP per capita,1.543
Sweden,7,2021,7.363,GDP per capita,1.478
Luxembourg,8,2021,7.324,GDP per capita,1.751
New Zealand,9,2021,7.277,GDP per capita,1.4
Austria,10,2021,7.268,GDP per capita,1.492
Australia,11,2021,7.183,GDP per capita,1.453
Israel,12,2021,7.157,GDP per capita,1.376
Germany,13,2021,7.155,GDP per capita,1.48
Canada,14,2021,7.103,GDP per capita,1.447
Ireland,15,2021,7.085,GDP per capita,1.644
Costa Rica,16,2021,7.069,GDP per capita,1.134
United Kingdom,17,2021,7.064,GDP per capita,1.423
Czech Republic,18,2021,6.965,GDP per capita,1.37
United States,19,2021,6.951,GDP per capita,1.533
Belgium,20,2021,6.834,GDP per capita,1.463
France,21,2021,6.69,GDP per capita,1.421
Bahrain,22,2021,6.647,GDP per capita,1.409
Malta,23,2021,6.602,GDP per capita,1.411
Taiwan Province of China,24,2021,6.584,GDP per capita,1.48
United Arab Emirates,25,2021,6.561,GDP per capita,1.555
Saudi Arabia,26,2021,6.494,GDP per capita,1.435
Spain,27,2021,6.491,GDP per capita,1.375
Italy,28,2021,6.483,GDP per capita,1.393
Slovenia,29,2021,6.461,GDP per capita,1.36
Guatemala,30,2021,6.435,GDP per capita,0.845
Uruguay,31,2021,6.431,GDP per capita,1.164
Singapore,32,2021,6.377,GDP per capita,1.695
Kosovo,33,2021,6.372,GDP per capita,0.937
Slovakia,34,2021,6.331,GDP per capita,1.304
Brazil,35,2021,6.33,GDP per capita,1.028
Mexico,36,2021,6.317,GDP per capita,1.126
Jamaica,37,2021,6.309,GDP per capita,0.891
Lithuania,38,2021,6.255,GDP per capita,1.35
Cyprus,39,2021,6.223,GDP per capita,1.377
Estonia,40,2021,6.189,GDP per capita,1.344
Panama,41,2021,6.18,GDP per capita,1.298
Uzbekistan,42,2021,6.179,GDP per capita,0.769
Chile,43,2021,6.172,GDP per capita,1.2
Poland,44,2021,6.166,GDP per capita,1.309
Kazakhstan,45,2021,6.152,GDP per capita,1.23
Romania,46,2021,6.14,GDP per capita,1.275
Kuwait,47,2021,6.106,GDP per capita,1.461
Serbia,48,2021,6.078,GDP per capita,1.101
El Salvador,49,2021,6.061,GDP per capita,0.845
Mauritius,50,2021,6.049,GDP per capita,1.178
Latvia,51,2021,6.032,GDP per capita,1.285
Colombia,52,2021,6.012,GDP per capita,1.021
Hungary,53,2021,5.992,GDP per capita,1.301
Thailand,54,2021,5.985,GDP per capita,1.107
Nicaragua,55,2021,5.972,GDP per capita,0.693
Japan,56,2021,5.94,GDP per capita,1.389
Argentina,57,2021,5.929,GDP per capita,1.162
Portugal,58,2021,5.929,GDP per capita,1.323
Honduras,59,2021,5.919,GDP per capita,0.703
Croatia,60,2021,5.882,GDP per capita,1.251
Philippines,61,2021,5.88,GDP per capita,0.853
South Korea,62,2021,5.845,GDP per capita,1.403
Peru,63,2021,5.84,GDP per capita,0.986
Bosnia and Herzegovina,64,2021,5.813,GDP per capita,1.032
Moldova,65,2021,5.766,GDP per capita,0.985
Ecuador,66,2021,5.764,GDP per capita,0.935
Kyrgyzstan,67,2021,5.744,GDP per capita,0.665
Greece,68,2021,5.723,GDP per capita,1.273
Bolivia,69,2021,5.716,GDP per capita,0.842
Mongolia,70,2021,5.677,GDP per capita,0.966
Paraguay,71,2021,5.653,GDP per capita,0.983
Montenegro,72,2021,5.581,GDP per capita,1.155
Dominican Republic,73,2021,5.545,GDP per capita,1.106
North Cyprus,74,2021,5.536,GDP per capita,1.377
Belarus,75,2021,5.534,GDP per capita,1.124
Russia,76,2021,5.477,GDP per capita,1.241
Hong Kong S.A.R. of China,77,2021,5.477,GDP per capita,1.525
Tajikistan,78,2021,5.466,GDP per capita,0.508
Vietnam,79,2021,5.411,GDP per capita,0.817
Libya,80,2021,5.41,GDP per capita,1.044
Malaysia,81,2021,5.384,GDP per capita,1.259
Indonesia,82,2021,5.345,GDP per capita,0.954
Congo (Brazzaville),83,2021,5.342,GDP per capita,0.518
China,84,2021,5.339,GDP per capita,1.061
Ivory Coast,85,2021,5.306,GDP per capita,0.669
Armenia,86,2021,5.283,GDP per capita,0.996
Nepal,87,2021,5.269,GDP per capita,0.519
Bulgaria,88,2021,5.266,GDP per capita,1.181
Maldives,89,2021,5.198,GDP per capita,1.115
Azerbaijan,90,2021,5.171,GDP per capita,1.025
Cameroon,91,2021,5.142,GDP per capita,0.543
Senegal,92,2021,5.132,GDP per capita,0.518
Albania,93,2021,5.117,GDP per capita,1.008
North Macedonia,94,2021,5.101,GDP per capita,1.068
Ghana,95,2021,5.088,GDP per capita,0.68
Niger,96,2021,5.074,GDP per capita,0.162
Turkmenistan,97,2021,5.066,GDP per capita,1.046
Gambia,98,2021,5.051,GDP per capita,0.367
Benin,99,2021,5.045,GDP per capita,0.507
Laos,100,2021,5.03,GDP per capita,0.808
Bangladesh,101,2021,5.025,GDP per capita,0.635
Guinea,102,2021,4.984,GDP per capita,0.42
South Africa,103,2021,4.956,GDP per capita,0.967
Turkey,104,2021,4.948,GDP per capita,1.26
Pakistan,105,2021,4.934,GDP per capita,0.637
Morocco,106,2021,4.918,GDP per capita,0.792
Venezuela,107,2021,4.892,GDP per capita,0.852
Georgia,108,2021,4.891,GDP per capita,1.03
Algeria,109,2021,4.887,GDP per capita,0.946
Ukraine,110,2021,4.875,GDP per capita,0.979
Iraq,111,2021,4.854,GDP per capita,0.91
Gabon,112,2021,4.852,GDP per capita,1.037
Burkina Faso,113,2021,4.834,GDP per capita,0.364
Cambodia,114,2021,4.83,GDP per capita,0.603
Mozambique,115,2021,4.794,GDP per capita,0.183
Nigeria,116,2021,4.759,GDP per capita,0.663
Mali,117,2021,4.723,GDP per capita,0.387
Iran,118,2021,4.721,GDP per capita,1.03
Uganda,119,2021,4.636,GDP per capita,0.364
Liberia,120,2021,4.625,GDP per capita,0.228
Kenya,121,2021,4.607,GDP per capita,0.603
Tunisia,122,2021,4.596,GDP per capita,0.919
Lebanon,123,2021,4.584,GDP per capita,1.045
Namibia,124,2021,4.574,GDP per capita,0.882
Palestinian Territories,125,2021,4.517,GDP per capita,0.646
Myanmar,126,2021,4.426,GDP per capita,0.666
Jordan,127,2021,4.395,GDP per capita,0.89
Chad,128,2021,4.355,GDP per capita,0.255
Sri Lanka,129,2021,4.325,GDP per capita,0.99
Swaziland,130,2021,4.308,GDP per capita,0.849
Comoros,131,2021,4.289,GDP per capita,0.488
Egypt,132,2021,4.283,GDP per capita,0.954
Ethiopia,133,2021,4.275,GDP per capita,0.37
Mauritania,134,2021,4.227,GDP per capita,0.666
Madagascar,135,2021,4.208,GDP per capita,0.266
Togo,136,2021,4.107,GDP per capita,0.254
Zambia,137,2021,4.073,GDP per capita,0.528
Sierra Leone,138,2021,3.849,GDP per capita,0.279
India,139,2021,3.819,GDP per capita,0.741
Burundi,140,2021,3.775,GDP per capita,0.0
Yemen,141,2021,3.658,GDP per capita,0.329
Tanzania,142,2021,3.623,GDP per capita,0.433
Haiti,143,2021,3.615,GDP per capita,0.294
Malawi,144,2021,3.6,GDP per capita,0.113
Lesotho,145,2021,3.512,GDP per capita,0.451
Botswana,146,2021,3.467,GDP per capita,1.099
Rwanda,147,2021,3.415,GDP per capita,0.364
Zimbabwe,148,2021,3.145,GDP per capita,0.457
Afghanistan,149,2021,2.523,GDP per capita,0.37
Finland,1,2021,7.842,Healthy life expectancy,0.741
Denmark,2,2021,7.62,Healthy life expectancy,0.763
Switzerland,3,2021,7.571,Healthy life expectancy,0.816
Iceland,4,2021,7.554,Healthy life expectancy,0.772
Netherlands,5,2021,7.464,Healthy life expectancy,0.753
Norway,6,2021,7.392,Healthy life expectancy,0.782
Sweden,7,2021,7.363,Healthy life expectancy,0.763
Luxembourg,8,2021,7.324,Healthy life expectancy,0.76
New Zealand,9,2021,7.277,Healthy life expectancy,0.785
Austria,10,2021,7.268,Healthy life expectancy,0.782
Australia,11,2021,7.183,Healthy life expectancy,0.801
Israel,12,2021,7.157,Healthy life expectancy,0.788
Germany,13,2021,7.155,Healthy life expectancy,0.757
Canada,14,2021,7.103,Healthy life expectancy,0.798
Ireland,15,2021,7.085,Healthy life expectancy,0.753
Costa Rica,16,2021,7.069,Healthy life expectancy,0.722
United Kingdom,17,2021,7.064,Healthy life expectancy,0.757
Czech Republic,18,2021,6.965,Healthy life expectancy,0.703
United States,19,2021,6.951,Healthy life expectancy,0.621
Belgium,20,2021,6.834,Healthy life expectancy,0.747
France,21,2021,6.69,Healthy life expectancy,0.804
Bahrain,22,2021,6.647,Healthy life expectancy,0.662
Malta,23,2021,6.602,Healthy life expectancy,0.747
Taiwan Province of China,24,2021,6.584,Healthy life expectancy,0.665
United Arab Emirates,25,2021,6.561,Healthy life expectancy,0.594
Saudi Arabia,26,2021,6.494,Healthy life expectancy,0.571
Spain,27,2021,6.491,Healthy life expectancy,0.826
Italy,28,2021,6.483,Healthy life expectancy,0.798
Slovenia,29,2021,6.461,Healthy life expectancy,0.722
Guatemala,30,2021,6.435,Healthy life expectancy,0.519
Uruguay,31,2021,6.431,Healthy life expectancy,0.649
Singapore,32,2021,6.377,Healthy life expectancy,0.897
Kosovo,33,2021,6.372,Healthy life expectancy,0.483
Slovakia,34,2021,6.331,Healthy life expectancy,0.653
Brazil,35,2021,6.33,Healthy life expectancy,0.571
Mexico,36,2021,6.317,Healthy life expectancy,0.634
Jamaica,37,2021,6.309,Healthy life expectancy,0.599
Lithuania,38,2021,6.255,Healthy life expectancy,0.612
Cyprus,39,2021,6.223,Healthy life expectancy,0.801
Estonia,40,2021,6.189,Healthy life expectancy,0.64
Panama,41,2021,6.18,Healthy life expectancy,0.667
Uzbekistan,42,2021,6.179,Healthy life expectancy,0.528
Chile,43,2021,6.172,Healthy life expectancy,0.678
Poland,44,2021,6.166,Healthy life expectancy,0.668
Kazakhstan,45,2021,6.152,Healthy life expectancy,0.527
Romania,46,2021,6.14,Healthy life expectancy,0.595
Kuwait,47,2021,6.106,Healthy life expectancy,0.58
Serbia,48,2021,6.078,Healthy life expectancy,0.634
El Salvador,49,2021,6.061,Healthy life expectancy,0.565
Mauritius,50,2021,6.049,Healthy life expectancy,0.574
Latvia,51,2021,6.032,Healthy life expectancy,0.587
Colombia,52,2021,6.012,Healthy life expectancy,0.615
Hungary,53,2021,5.992,Healthy life expectancy,0.615
Thailand,54,2021,5.985,Healthy life expectancy,0.596
Nicaragua,55,2021,5.972,Healthy life expectancy,0.604
Japan,56,2021,5.94,Healthy life expectancy,0.838
Argentina,57,2021,5.929,Healthy life expectancy,0.646
Portugal,58,2021,5.929,Healthy life expectancy,0.76
Honduras,59,2021,5.919,Healthy life expectancy,0.593
Croatia,60,2021,5.882,Healthy life expectancy,0.703
Philippines,61,2021,5.88,Healthy life expectancy,0.426
South Korea,62,2021,5.845,Healthy life expectancy,0.801
Peru,63,2021,5.84,Healthy life expectancy,0.623
Bosnia and Herzegovina,64,2021,5.813,Healthy life expectancy,0.618
Moldova,65,2021,5.766,Healthy life expectancy,0.542
Ecuador,66,2021,5.764,Healthy life expectancy,0.64
Kyrgyzstan,67,2021,5.744,Healthy life expectancy,0.501
Greece,68,2021,5.723,Healthy life expectancy,0.76
Bolivia,69,2021,5.716,Healthy life expectancy,0.486
Mongolia,70,2021,5.677,Healthy life expectancy,0.442
Paraguay,71,2021,5.653,Healthy life expectancy,0.549
Montenegro,72,2021,5.581,Healthy life expectancy,0.637
Dominican Republic,73,2021,5.545,Healthy life expectancy,0.555
North Cyprus,74,2021,5.536,Healthy life expectancy,0.801
Belarus,75,2021,5.534,Healthy life expectancy,0.56
Russia,76,2021,5.477,Healthy life expectancy,0.511
Hong Kong S.A.R. of China,77,2021,5.477,Healthy life expectancy,0.893
Tajikistan,78,2021,5.466,Healthy life expectancy,0.498
Vietnam,79,2021,5.411,Healthy life expectancy,0.616
Libya,80,2021,5.41,Healthy life expectancy,0.435
Malaysia,81,2021,5.384,Healthy life expectancy,0.587
Indonesia,82,2021,5.345,Healthy life expectancy,0.433
Congo (Brazzaville),83,2021,5.342,Healthy life expectancy,0.307
China,84,2021,5.339,Healthy life expectancy,0.665
Ivory Coast,85,2021,5.306,Healthy life expectancy,0.052
Armenia,86,2021,5.283,Healthy life expectancy,0.585
Nepal,87,2021,5.269,Healthy life expectancy,0.496
Bulgaria,88,2021,5.266,Healthy life expectancy,0.583
Maldives,89,2021,5.198,Healthy life expectancy,0.697
Azerbaijan,90,2021,5.171,Healthy life expectancy,0.541
Cameroon,91,2021,5.142,Healthy life expectancy,0.159
Senegal,92,2021,5.132,Healthy life expectancy,0.357
Albania,93,2021,5.117,Healthy life expectancy,0.646
North Macedonia,94,2021,5.101,Healthy life expectancy,0.535
Ghana,95,2021,5.088,Healthy life expectancy,0.287
Niger,96,2021,5.074,Healthy life expectancy,0.167
Turkmenistan,97,2021,5.066,Healthy life expectancy,0.439
Gambia,98,2021,5.051,Healthy life expectancy,0.21
Benin,99,2021,5.045,Healthy life expectancy,0.196
Laos,100,2021,5.03,Healthy life expectancy,0.33
Bangladesh,101,2021,5.025,Healthy life expectancy,0.514
Guinea,102,2021,4.984,Healthy life expectancy,0.206
South Africa,103,2021,4.956,Healthy life expectancy,0.265
Turkey,104,2021,4.948,Healthy life expectancy,0.59
Pakistan,105,2021,4.934,Healthy life expectancy,0.322
Morocco,106,2021,4.918,Healthy life expectancy,0.558
Venezuela,107,2021,4.892,Healthy life expectancy,0.574
Georgia,108,2021,4.891,Healthy life expectancy,0.498
Algeria,109,2021,4.887,Healthy life expectancy,0.552
Ukraine,110,2021,4.875,Healthy life expectancy,0.517
Iraq,111,2021,4.854,Healthy life expectancy,0.381
Gabon,112,2021,4.852,Healthy life expectancy,0.362
Burkina Faso,113,2021,4.834,Healthy life expectancy,0.179
Cambodia,114,2021,4.83,Healthy life expectancy,0.426
Mozambique,115,2021,4.794,Healthy life expectancy,0.196
Nigeria,116,2021,4.759,Healthy life expectancy,0.051
Mali,117,2021,4.723,Healthy life expectancy,0.11
Iran,118,2021,4.721,Healthy life expectancy,0.561
Uganda,119,2021,4.636,Healthy life expectancy,0.24
Liberia,120,2021,4.625,Healthy life expectancy,0.253
Kenya,121,2021,4.607,Healthy life expectancy,0.385
Tunisia,122,2021,4.596,Healthy life expectancy,0.59
Lebanon,123,2021,4.584,Healthy life expectancy,0.595
Namibia,124,2021,4.574,Healthy life expectancy,0.262
Palestinian Territories,125,2021,4.517,Healthy life expectancy,0.434
Myanmar,126,2021,4.426,Healthy life expectancy,0.341
Jordan,127,2021,4.395,Healthy life expectancy,0.583
Chad,128,2021,4.355,Healthy life expectancy,0.0
Sri Lanka,129,2021,4.325,Healthy life expectancy,0.593
Swaziland,130,2021,4.308,Healthy life expectancy,0.074
Comoros,131,2021,4.289,Healthy life expectancy,0.279
Egypt,132,2021,4.283,Healthy life expectancy,0.426
Ethiopia,133,2021,4.275,Healthy life expectancy,0.331
Mauritania,134,2021,4.227,Healthy life expectancy,0.273
Madagascar,135,2021,4.208,Healthy life expectancy,0.341
Togo,136,2021,4.107,Healthy life expectancy,0.203
Zambia,137,2021,4.073,Healthy life expectancy,0.231
Sierra Leone,138,2021,3.849,Healthy life expectancy,0.1
India,139,2021,3.819,Healthy life expectancy,0.383
Burundi,140,2021,3.775,Healthy life expectancy,0.155
Yemen,141,2021,3.658,Healthy life expectancy,0.272
Tanzania,142,2021,3.623,Healthy life expectancy,0.3
Haiti,143,2021,3.615,Healthy life expectancy,0.227
Malawi,144,2021,3.6,Healthy life expectancy,0.298
Lesotho,145,2021,3.512,Healthy life expectancy,0.007
Botswana,146,2021,3.467,Healthy life expectancy,0.34
Rwanda,147,2021,3.415,Healthy life expectancy,0.407
Zimbabwe,148,2021,3.145,Healthy life expectancy,0.243
Afghanistan,149,2021,2.523,Healthy life expectancy,0.126
Finland,1,2021,7.842,Freedom to make life choices,0.691
Denmark,2,2021,7.62,Freedom to make life choices,0.686
Switzerland,3,2021,7.571,Freedom to make life choices,0.653
Iceland,4,2021,7.554,Freedom to make life choices,0.698
Netherlands,5,2021,7.464,Freedom to make life choices,0.647
Norway,6,2021,7.392,Freedom to make life choices,0.703
Sweden,7,2021,7.363,Freedom to make life choices,0.685
Luxembourg,8,2021,7.324,Freedom to make life choices,0.639
New Zealand,9,2021,7.277,Freedom to make life choices,0.665
Austria,10,2021,7.268,Freedom to make life choices,0.64
Australia,11,2021,7.183,Freedom to make life choices,0.647
Israel,12,2021,7.157,Freedom to make life choices,0.509
Germany,13,2021,7.155,Freedom to make life choices,0.6
Canada,14,2021,7.103,Freedom to make life choices,0.648
Ireland,15,2021,7.085,Freedom to make life choices,0.606
Costa Rica,16,2021,7.069,Freedom to make life choices,0.673
United Kingdom,17,2021,7.064,Freedom to make life choices,0.58
Czech Republic,18,2021,6.965,Freedom to make life choices,0.58
United States,19,2021,6.951,Freedom to make life choices,0.554
Belgium,20,2021,6.834,Freedom to make life choices,0.489
France,21,2021,6.69,Freedom to make life choices,0.536
Bahrain,22,2021,6.647,Freedom to make life choices,0.661
Malta,23,2021,6.602,Freedom to make life choices,0.664
Taiwan Province of China,24,2021,6.584,Freedom to make life choices,0.49
United Arab Emirates,25,2021,6.561,Freedom to make life choices,0.67
Saudi Arabia,26,2021,6.494,Freedom to make life choices,0.603
Spain,27,2021,6.491,Freedom to make life choices,0.462
Italy,28,2021,6.483,Freedom to make life choices,0.379
Slovenia,29,2021,6.461,Freedom to make life choices,0.69
Guatemala,30,2021,6.435,Freedom to make life choices,0.638
Uruguay,31,2021,6.431,Freedom to make life choices,0.625
Singapore,32,2021,6.377,Freedom to make life choices,0.664
Kosovo,33,2021,6.372,Freedom to make life choices,0.593
Slovakia,34,2021,6.331,Freedom to make life choices,0.468
Brazil,35,2021,6.33,Freedom to make life choices,0.514
Mexico,36,2021,6.317,Freedom to make life choices,0.585
Jamaica,37,2021,6.309,Freedom to make life choices,0.618
Lithuania,38,2021,6.255,Freedom to make life choices,0.476
Cyprus,39,2021,6.223,Freedom to make life choices,0.464
Estonia,40,2021,6.189,Freedom to make life choices,0.641
Panama,41,2021,6.18,Freedom to make life choices,0.596
Uzbekistan,42,2021,6.179,Freedom to make life choices,0.716
Chile,43,2021,6.172,Freedom to make life choices,0.438
Poland,44,2021,6.166,Freedom to make life choices,0.558
Kazakhstan,45,2021,6.152,Freedom to make life choices,0.573
Romania,46,2021,6.14,Freedom to make life choices,0.564
Kuwait,47,2021,6.106,Freedom to make life choices,0.591
Serbia,48,2021,6.078,Freedom to make life choices,0.482
El Salvador,49,2021,6.061,Freedom to make life choices,0.615
Mauritius,50,2021,6.049,Freedom to make life choices,0.59
Latvia,51,2021,6.032,Freedom to make life choices,0.405
Colombia,52,2021,6.012,Freedom to make life choices,0.554
Hungary,53,2021,5.992,Freedom to make life choices,0.454
Thailand,54,2021,5.985,Freedom to make life choices,0.611
Nicaragua,55,2021,5.972,Freedom to make life choices,0.553
Japan,56,2021,5.94,Freedom to make life choices,0.504
Argentina,57,2021,5.929,Freedom to make life choices,0.544
Portugal,58,2021,5.929,Freedom to make life choices,0.621
Honduras,59,2021,5.919,Freedom to make life choices,0.578
Croatia,60,2021,5.882,Freedom to make life choices,0.453
Philippines,61,2021,5.88,Freedom to make life choices,0.651
South Korea,62,2021,5.845,Freedom to make life choices,0.353
Peru,63,2021,5.84,Freedom to make life choices,0.536
Bosnia and Herzegovina,64,2021,5.813,Freedom to make life choices,0.395
Moldova,65,2021,5.766,Freedom to make life choices,0.536
Ecuador,66,2021,5.764,Freedom to make life choices,0.56
Kyrgyzstan,67,2021,5.744,Freedom to make life choices,0.673
Greece,68,2021,5.723,Freedom to make life choices,0.243
Bolivia,69,2021,5.716,Freedom to make life choices,0.6
Mongolia,70,2021,5.677,Freedom to make life choices,0.397
Paraguay,71,2021,5.653,Freedom to make life choices,0.602
Montenegro,72,2021,5.581,Freedom to make life choices,0.397
Dominican Republic,73,2021,5.545,Freedom to make life choices,0.581
North Cyprus,74,2021,5.536,Freedom to make life choices,0.503
Belarus,75,2021,5.534,Freedom to make life choices,0.326
Russia,76,2021,5.477,Freedom to make life choices,0.409
Hong Kong S.A.R. of China,77,2021,5.477,Freedom to make life choices,0.408
Tajikistan,78,2021,5.466,Freedom to make life choices,0.548
